NO,NAME,S,K,E,TA,PCT,A,SA,SE,RE,DIG,BS,BA,BE,BHE,PTS,TEAM,GAME
3,KAYLA CAFFEY,5,5,2,19,0.158,0,0,0,0,2,0,2,0,0,6,Nebraska,1
1,NICKLIN HAMES,5,1,1,7,0,51,0,1,0,12,1,2,1,0,3,Nebraska,1
10,MADI KUBIK,5,13,4,38,0.237,1,1,2,0,8,0,1,0,0,14.5,Nebraska,1
26,LAUREN STIVRINS,5,18,4,33,0.424,0,0,0,1,0,0,6,0,0,21,Nebraska,1
11,LEXI SUN,5,17,5,43,0.279,1,0,2,0,4,0,2,1,0,18,Nebraska,1
12,JAZZ SWEET,4,1,3,8,-0.25,0,0,0,0,1,0,0,0,0,1,Nebraska,1
6,KEONILEI AKANA,5,0,0,0,0,2,3,2,0,17,0,0,0,0,3,Nebraska,1
43,HAYLEY DENSBERGER,4,0,0,0,0,0,1,1,0,1,0,0,0,0,1,Nebraska,1
4,ANNI EVANS,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Nebraska,1
2,KENZIE KNUCKLES,5,0,0,1,0,2,1,1,1,24,0,0,0,0,1,Nebraska,1
25,CALLIE SCHWARZENBACH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,1
16,RILEY ZUHN,5,6,1,14,0.357,0,0,0,0,1,0,3,1,0,7.5,Nebraska,1
13,VANJA BUKILIC,5,16,7,39,0.231,0,0,0,0,1,1,0,0,0,17,Ohio State,1
8,GABBY GONZALES,5,9,4,30,0.167,2,1,4,2,13,0,1,0,0,10.5,Ohio State,1
22,EMILY LONDOT,5,23,10,62,0.21,1,0,1,0,17,0,1,0,0,23.5,Ohio State,1
10,MAC PODRAZA,5,2,1,7,0.143,53,0,4,0,7,0,1,0,1,2.5,Ohio State,1
20,RYLEE RADER,5,14,1,22,0.591,0,0,0,0,1,1,1,0,0,15.5,Ohio State,1
12,LAUREN WITTE,5,3,4,20,-0.05,2,0,2,1,3,0,2,1,0,4,Ohio State,1
7,HANNAH GRUENSFELDER,5,0,0,0,0,0,0,1,1,6,0,0,0,0,0,Ohio State,1
6,KYLIE MURR,5,0,0,0,0,3,1,0,2,23,0,0,0,0,1,Ohio State,1
3,KAYLA CAFFEY,5,7,5,17,0.118,0,0,0,0,0,0,0,0,0,7,Nebraska,2
1,NICKLIN HAMES,5,3,0,8,0.375,57,0,3,0,14,0,2,0,0,4,Nebraska,2
10,MADI KUBIK,5,13,5,34,0.235,1,0,1,1,10,0,2,0,0,14,Nebraska,2
26,LAUREN STIVRINS,5,16,4,30,0.4,0,0,0,0,0,0,5,3,0,18.5,Nebraska,2
11,LEXI SUN,5,22,9,52,0.25,1,2,2,0,8,0,0,1,0,24,Nebraska,2
16,RILEY ZUHN,5,3,4,16,-0.063,0,0,0,0,0,0,1,0,0,3.5,Nebraska,2
6,KEONILEI AKANA,5,0,0,0,0,2,0,2,1,16,0,0,0,0,0,Nebraska,2
43,HAYLEY DENSBERGER,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Nebraska,2
4,ANNI EVANS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,2
2,KENZIE KNUCKLES,5,0,0,1,0,2,1,0,4,16,0,0,0,0,1,Nebraska,2
25,CALLIE SCHWARZENBACH,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,2
12,JAZZ SWEET,4,3,0,6,0.5,0,0,0,0,0,0,0,0,0,3,Nebraska,2
8,GABBY GONZALES,5,9,6,34,0.088,3,1,1,1,9,0,3,0,0,11.5,Ohio State,2
7,HANNAH GRUENSFELDER,5,0,0,0,0,0,0,1,0,11,0,0,0,0,0,Ohio State,2
22,EMILY LONDOT,5,18,7,47,0.234,1,0,3,0,10,0,5,0,0,20.5,Ohio State,2
10,MAC PODRAZA,5,4,0,13,0.308,49,2,3,0,13,0,1,0,0,6.5,Ohio State,2
20,RYLEE RADER,5,10,0,24,0.417,0,0,0,0,2,0,8,0,0,14,Ohio State,2
12,LAUREN WITTE,5,9,0,14,0.643,0,2,1,0,0,0,2,0,0,12,Ohio State,2
13,VANJA BUKILIC,5,16,7,30,0.3,0,0,0,1,1,0,1,0,0,16.5,Ohio State,2
1,SARAH SUE MORBITZER,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Ohio State,2
6,KYLIE MURR,5,0,0,2,0,8,1,2,0,11,0,0,0,0,1,Ohio State,2