ERA,NEBWINS,OPPWINS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,YEAR,TEAM
6.45,18,6,0,1,4,200.3,239,186,144,120,206,39,4,32,807,29.6,33,21,2,5,23,2021,OPP
6.07,7,8,0,0,2,131.3,144,102,89,65,110,22,2,17,512,28.1,23,15,0,5,7,2020,OPP
5.22,32,24,0,1,8,489.2,485,325,284,292,523,77,8,35,1896,25.6,61,61,3,25,17,2019,OPP
5.79,24,28,0,1,16,453.3,488,337,292,255,393,75,10,47,1781,27.4,61,39,3,30,20,2018,OPP
5.03,35,22,2,3,11,507.2,571,337,284,228,433,106,9,25,2019,28.3,63,48,5,23,23,2017,OPP
4.95,37,22,1,2,7,516,572,325,284,213,363,102,11,43,2037,28.1,57,58,5,24,24,2016,OPP
4.43,34,23,2,3,13,503.1,532,274,248,196,323,89,13,22,1931,27.6,25,28,6,20,48,2015,OPP
5.29,41,21,2,0,13,542.2,623,363,319,222,305,98,19,19,2126,29.3,42,29,8,28,59,2014,OPP
4.37,29,30,3,5,11,529.2,604,325,257,178,381,89,13,15,2075,0.291,44,45,4,30,58,2013,OPP
6.34,35,23,4,1,9,505,647,413,356,184,288,104,12,47,2057,31.5,33,61,4,20,47,2012,OPP
4.67,30,25,1,5,10,480.1,497,299,249,179,394,99,10,30,1841,27,37,89,8,22,52,2011,OPP
6,27,27,3,1,7,465.1,565,374,310,202,361,104,8,60,1877,30.1,39,86,1,25,19,2010,OPP
5.62,25,28,1,1,13,479,529,351,299,197,370,107,15,48,1879,28.2,41,71,4,21,33,2009,OPP
5.32,41,16,2,2,9,505.2,545,370,299,218,336,109,13,38,1976,27.6,50,90,7,29,35,2008,OPP
5.02,32,27,2,2,7,512.1,571,339,286,239,307,100,13,33,1984,28.8,45,75,9,24,73,2007,OPP
5.85,42,17,3,0,11,514,634,376,334,221,331,110,14,70,2044,31,36,75,6,21,46,2006,OPP
5.79,57,15,5,0,5,615.2,739,487,396,307,405,128,15,67,2448,30.2,49,80,18,28,58,2005,OPP
5.68,36,23,6,0,11,515,555,389,325,230,380,112,10,52,1977,28.1,57,95,13,17,58,2004,OPP
6.23,47,18,4,1,11,558,677,484,386,271,367,106,15,76,2229,30.4,67,103,16,26,65,2003,OPP
6.92,47,21,4,0,8,587.2,756,543,452,299,362,154,20,74,2403,31.5,59,98,18,46,49,2002,OPP
8.07,50,16,2,0,6,555.1,787,607,498,363,350,134,22,81,2356,33.4,55,62,23,32,48,2001,OPP
7.14,51,17,7,0,9,580,762,560,460,349,389,117,12,76,2342,32.5,51,71,6,39,77,2000,OPP
3.94,18,6,0,3,5,205.2,189,97,90,71,224,37,5,22,771,24.5,20,26,0,5,6,2021,NEB
5.94,7,8,0,1,3,130.1,129,95,86,58,122,23,4,14,502,25.7,24,13,0,9,3,2020,NEB
4.62,32,24,1,4,17,491,515,293,252,168,414,85,7,42,1917,26.9,60,57,6,18,25,2019,NEB
5.71,24,28,0,1,16,454,524,333,288,188,338,77,4,48,1801,29.1,61,55,4,24,39,2018,NEB
3.7,35,23,1,2,20,513.1,517,246,211,165,386,92,6,28,1974,26.1,28,38,4,13,24,2017,NEB
3.89,37,22,1,8,16,527.2,500,260,228,233,382,62,6,28,1975,25.3,48,35,2,15,38,2016,NEB
3.12,34,23,1,3,19,511.1,494,203,177,144,376,81,11,25,1915,25.8,22,30,0,20,38,2015,NEB
3.5,41,21,4,1,17,553.1,549,270,215,198,356,70,9,18,2085,26.3,28,38,4,26,51,2014,NEB
4.68,29,30,1,5,15,527,572,301,274,207,321,90,8,21,2009,28.5,41,76,1,21,56,2013,NEB
4.4,35,23,0,2,13,517,591,300,253,199,328,86,15,27,2030,29.1,29,50,2,19,36,2012,NEB
3.98,30,25,0,2,11,490.2,498,262,217,206,389,88,7,26,1857,26.8,53,50,3,17,56,2011,NEB
5.15,27,27,3,4,7,468.1,509,307,268,226,358,107,4,52,1812,28.1,53,43,2,19,37,2010,NEB
6.22,25,28,4,1,6,483.2,547,379,334,256,361,99,18,50,1882,29.1,44,74,10,21,54,2009,NEB
4.18,41,16,7,4,17,521,498,287,242,192,491,98,13,37,1977,25.1,40,64,4,20,33,2008,NEB
4.6,32,27,4,2,19,519,529,314,265,233,464,89,11,41,1967,26.9,53,63,1,28,45,2007,NEB
3.4,42,17,3,0,11,526,480,230,199,187,388,68,12,33,1947,24.7,23,52,12,12,46,2006,NEB
2.69,57,15,7,5,23,643,530,235,192,187,538,96,6,38,2335,22.7,23,43,9,14,43,2005,NEB
3.76,36,23,3,6,12,524,537,255,219,165,389,88,9,37,2003,26.8,38,41,10,15,32,2004,NEB
3.79,47,18,9,5,17,574.2,566,291,242,164,469,81,11,49,2181,26,42,51,12,14,37,2003,NEB
3.66,47,21,9,5,11,600.2,572,296,244,185,478,109,15,45,2291,25,42,52,4,23,34,2002,NEB
4.41,50,16,10,4,15,572,632,346,280,187,503,129,5,47,2271,27.8,48,51,13,16,40,2001,NEB
3.14,51,17,13,9,8,598.1,537,259,209,167,484,83,8,44,2237,24,28,37,6,26,33,2000,NEB